survey_date,response_date,total_spend,spend_reported,seating_segment,member_segment,feedback,has_feedback,primary_theme,sentiment
58:31.0,37:57.0,,false,Unknown,UNKNOWN,"Line at the burger grill stand took awhile. It didn't seem like there were a lot of people in line, but the line moved slowly. The workers were nice and trying their best, but it seemed like something could be changed to speed up the line a bit. I don't know what. Maybe efficiency could be optimized. Less customization of the burgers? I bought a can of beer. When I went to go down to my seats I didn't realize I'd have to pour my can into a cup, so I had to step aside and do it. I was carrying my food and beer so I had to set down the cup on the floor just to pour it in and still had to chug the rest because it wouldn't fit in the cup. I get why they don't want fans to have cans, but then maybe they can just do the pours into the cup before they hand it to you at concessions and then there won't be a backlog of people at the entrance to the seats trying to convert their drink vessels. Or at least they could give you a cup at concessions and let you know you'll need to do it before being seated so you don't find out right when you're about to go down to the seats. Also, it was tough to juggle carrying food and a beer and getting my phone out to show my ticket to the usher.",true,Food and beverage,negative
58:31.0,57:33.0,,false,Unknown,UNKNOWN,Is it possible to have a shuttle service from a parking lot away from the stadium site like Hollywood Bowl or Greek Theater do for events. I have looked a public transport but taking 1.5 hours and needing to change 3x to get to stadium is a pain. And traffic was a nightmare - a shuttle to a nearby offsite lot where one could park and then take a shuttle like we just did at Greek Theater..,true,Parking and transportation,negative
09:50.0,53:32.0,318.0,true,General,UNKNOWN,I have no suggestions,true,Other / unclassified,neutral
40:54.0,14:57.0,,false,Unknown,UNKNOWN,What are options to bring a Corporate work team to the game?,true,Other / unclassified,neutral
58:31.0,32:24.0,,false,Unknown,UNKNOWN,line for purchasing merch was way too long - i missed the whole second half,true,Queues and wait times,negative
58:48.0,57:42.0,939.0,true,Floor/Pit,UNKNOWN,More options,true,Other / unclassified,neutral
39:19.0,34:32.0,59.54,true,General,YES,Have better quality food for the expensive price you charge.,true,Food and beverage,negative
09:50.0,09:02.0,299.0,true,Premium,UNKNOWN,make ticket master cap prices on resellers fr,true,Affordability and value,neutral
58:31.0,35:00.0,,false,Unknown,UNKNOWN,Outstanding first night more cashiers at the merch window would have made it that much better,true,Other / unclassified,positive
58:48.0,47:33.0,469.5,true,Floor/Pit,UNKNOWN,A higher stage because the people in the floor seats barely see the performers,true,Other / unclassified,negative
17:48.0,18:08.0,443.18,true,Premium,YES,Please replace the ripped seat covers in the stadium.  It is unbecoming of this organization to have torn up seats.,true,Other / unclassified,negative
09:50.0,21:10.0,798.0,true,General,UNKNOWN,"the walkways were a little dim when leaving the concert, would appreciate some more targeted lighting to avoid any mishaps",true,Other / unclassified,negative
00:18.0,48:28.0,749.7,true,Floor/Pit,UNKNOWN,,false,Other / unclassified,
00:18.0,21:34.0,99.95,true,General,UNKNOWN,"Drinks were expensive, without covers easily spilled and easily spoiled to things like other peoples hair getting in. I didnt buy anymore as it was not worth it. I was directed to my seat to the wrong area when i was going to the right area. Restroom lines were too long i didnt bother. Merchandise consisted of 2 persons and i couldnt see what was displayed properly so i didnt so i just left. I wont be returning to banc of california for any future concerts",true,Queues and wait times,negative
10:37.0,48:54.0,331.2,true,General,YES,Great experience!,true,Other / unclassified,positive
19:30.0,30:58.0,144.9,true,General,YES,Try to do collectable items,true,Other / unclassified,neutral
00:18.0,47:41.0,389.82,true,Floor/Pit,UNKNOWN,Rosie who was in charge of ADA was amazing and absolutely made our evening because a member of our party had an injury and she was able to accommodate us into ADA,true,Other / unclassified,positive
10:37.0,21:58.0,331.2,true,General,YES,"I gave them alreadyâ€¦ but do you think a nice fresh chicken salad can be provided? Iâ€™m really not a picky eater, but it would be nice to have better optionsâ€¦ I love your org and want to see you succeed and of course OUR TEam!!!",true,Other / unclassified,positive
00:18.0,11:04.0,319.8,true,General,UNKNOWN,More bathroom access,true,Restrooms,neutral
28:03.0,24:00.0,388.25,true,General,UNKNOWN,Staff are very friendly and nice towards all fans,true,Staff and service,positive
28:03.0,24:11.0,779.0,true,Floor/Pit,UNKNOWN,To have friendlier staff. There was times where they were rude.,true,Staff and service,negative
28:03.0,48:40.0,318.0,true,Premium,UNKNOWN,more detailed parking info - figuring out where to go for onsite parking was a mess,true,Parking and transportation,negative
